type,difficulty,category,question,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
multiple,easy,Science: Computers,"On Twitter, what was the original character limit for a Tweet?",140,120,160,100
multiple,medium,Entertainment: Japanese Anime &amp; Manga,"In &quot;Toriko&quot;, which of the following foods is knowingly compatible with Toriko?",Poison Potato,Mors Oil,Alpacookie,Parmesansho Fruit
multiple,easy,History,To what political party did Abraham Lincoln belong when elected POTUS?,Republican,Democrat,Independent,Whig
multiple,hard,Entertainment: Video Games,Which of the following games was NOT included in Valve&#039;s Orange Box?,Counter-Strike,Portal,Half-Life 2: Episode Two,Team Fortress 2
boolean,easy,Science: Computers,"In most programming languages, the operator ++ is equivalent to the statement &quot;+= 1&quot;.",True,False,,
multiple,hard,Science: Computers,The Harvard architecture for micro-controllers added which additional bus?,Instruction,Address,Data,Control
multiple,easy,Entertainment: Video Games,Who is the writer of the game &quot;Half-Life&quot;?,Marc Laidlaw,Gabe Newell,Robin Walker,Chet Faliszek
multiple,medium,Entertainment: Video Games,Which of these is NOT a terrorist faction in Counter-Strike (2000)?,Midwest Militia,Phoenix Connection,Elite Crew,Guerrilla Warfare
multiple,hard,Entertainment: Video Games,"In &quot;Call Of Duty: Zombies&quot;, &quot;Richtofen&quot; is in possession of two filled blood vials belonging to who?",Sal DeLuca and Finn O&#039;Leary,Richtofen,Al Arlington and Sal DeLuca,Jessica Rose and Jack Vincent
multiple,hard,Politics,Which of the following United States Presidents served the shortest term in office?,William Henry Harrison,Zachary Taylor,James A. Garfield,Warren G. Harding
